월(Monthly),시도명,시군구,관용(승용),자가용(승용),영업용(승용),계(승용),관용(승합),자가용(승합),영업용(승합),계(승합),관용(화물),자가용(화물),영업용(화물),계(화물),관용(특수),자가용(특수),영업용(특수),계(특수),관용(총계),자가용(총계),영업용(총계),계(총계)
26-Jun,서울,강남구,156,"218,199","11,422","229,777",58,"3,612",557,"4,227",192,"13,442","2,052","15,686",16,396,147,559,422,"235,649","14,178","250,249"
26-Jun,서울,강동구,109,"145,492","4,952","150,553",41,"2,930",601,"3,572",149,"11,802","2,574","14,525",8,273,201,482,307,"160,497","8,328","169,132"
26-Jun,서울,강북구,116,"59,214","2,116","61,446",65,"1,834",710,"2,609",129,"6,410","1,224","7,763",17,138,112,267,327,"67,596","4,162","72,085"
26-Jun,서울,강서구,136,"166,615","11,053","177,804",44,"3,665","1,385","5,094",157,"15,361","4,364","19,882",18,486,258,762,355,"186,127","17,060","203,542"
26-Jun,서울,관악구,88,"98,069","3,106","101,263",44,"2,519",360,"2,923",142,"8,441","2,204","10,787",12,204,168,384,286,"109,233","5,838","115,357"
26-Jun,서울,광진구,84,"79,799","2,980","82,863",42,"1,783",330,"2,155",161,"8,229","1,451","9,841",9,137,91,237,296,"89,948","4,852","95,096"
26-Jun,서울,구로구,111,"113,518","5,520","119,149",60,"3,300",543,"3,903",128,"13,118","2,639","15,885",6,308,161,475,305,"130,244","8,863","139,412"
26-Jun,서울,금천구,57,"71,145","2,839","74,041",32,"2,178",433,"2,643",76,"10,161","2,157","12,394",13,197,89,299,178,"83,681","5,518","89,377"
26-Jun,서울,노원구,78,"127,671","5,587","133,336",50,"2,776",709,"3,535",167,"9,254","2,062","11,483",11,290,241,542,306,"139,991","8,599","148,896"
26-Jun,서울,도봉구,91,"75,406","4,534","80,031",49,"1,967",568,"2,584",126,"7,673","2,070","9,869",12,211,150,373,278,"85,257","7,322","92,857"
26-Jun,서울,동대문구,108,"90,022","2,762","92,892",63,"2,204",132,"2,399",136,"9,349","2,228","11,713",15,214,90,319,322,"101,789","5,212","107,323"
26-Jun,서울,동작구,124,"93,730","1,261","95,115",45,"1,903",130,"2,078",134,"6,092","1,089","7,315",16,165,174,355,319,"101,890","2,654","104,863"
26-Jun,서울,마포구,97,"100,858","3,887","104,842",54,"2,153",578,"2,785",174,"8,955","2,649","11,778",21,296,515,832,346,"112,262","7,629","120,237"
26-Jun,서울,서대문구,233,"77,042","3,446","80,721",101,"1,725",396,"2,222",137,"5,482","1,745","7,364",6,152,110,268,477,"84,401","5,697","90,575"
26-Jun,서울,서초구,170,"156,594","3,038","159,802",129,"2,718",636,"3,483",182,"10,164","3,976","14,322",14,280,179,473,495,"169,756","7,829","178,080"
26-Jun,서울,성동구,134,"83,884","8,115","92,133",50,"1,584",945,"2,579",177,"7,958","1,914","10,049",17,219,148,384,378,"93,645","11,122","105,145"
26-Jun,서울,성북구,97,"106,240","2,014","108,351",46,"2,383","1,071","3,500",144,"8,069","1,651","9,864",10,215,101,326,297,"116,907","4,837","122,041"
26-Jun,서울,송파구,130,"208,140","7,828","216,098",101,"3,560","1,569","5,230",157,"16,395","4,948","21,500",19,424,363,806,407,"228,519","14,708","243,634"
26-Jun,서울,양천구,126,"125,452","4,825","130,403",64,"2,660",740,"3,464",146,"10,358","2,758","13,262",7,273,414,694,343,"138,743","8,737","147,823"
26-Jun,서울,영등포구,128,"117,668","2,786","120,582",60,"3,154",201,"3,415",177,"12,356","4,376","16,909",17,459,684,"1,160",382,"133,637","8,047","142,066"
26-Jun,서울,용산구,155,"62,703","1,044","63,902",55,"1,506",72,"1,633",127,"4,401","1,083","5,611",9,144,32,185,346,"68,754","2,231","71,331"
26-Jun,서울,은평구,90,"112,856","4,127","117,073",45,"2,521",749,"3,315",141,"9,379","2,009","11,529",16,211,176,403,292,"124,967","7,061","132,320"
26-Jun,서울,종로구,"1,920","38,662",303,"40,885","1,494","1,260",252,"3,006",347,"3,499","1,727","5,573",103,100,98,301,"3,864","43,521","2,380","49,765"
26-Jun,서울,중구,294,"38,439","1,225","39,958",810,"1,585",303,"2,698",179,"4,390","1,115","5,684",27,177,88,292,"1,310","44,591","2,731","48,632"
26-Jun,서울,중랑구,79,"91,128","6,021","97,228",32,"2,551",579,"3,162",123,"10,966","2,713","13,802",13,249,318,580,247,"104,894","9,631","114,772"
26-Jun,서울,계,"4,911","2,658,546","106,791","2,770,248","3,634","60,031","14,549","78,214","3,908","231,704","58,778","294,390",432,"6,218","5,108","11,758","12,885","2,956,499","185,226","3,154,610"
26-Jun,부산,강서구,132,"74,996","1,676","76,804",80,"1,514",414,"2,008",134,"16,245","2,784","19,163",10,458,670,"1,138",356,"93,213","5,544","99,113"
26-Jun,부산,금정구,106,"64,573","2,382","67,061",60,"1,810",957,"2,827",100,"9,136","2,926","12,162",13,202,603,818,279,"75,721","6,868","82,868"
26-Jun,부산,기장군,83,"77,145",878,"78,106",47,"1,863",532,"2,442",128,"10,687","1,419","12,234",13,279,271,563,271,"89,974","3,100","93,345"
26-Jun,부산,남구,102,"83,578","2,933","86,613",53,"1,870",494,"2,417",58,"8,392","4,568","13,018",4,347,"1,485","1,836",217,"94,187","9,480","103,884"
26-Jun,부산,동구,87,"44,430","1,055","45,572",45,751,178,974,62,"3,435","2,260","5,757",5,87,"1,040","1,132",199,"48,703","4,533","53,435"
26-Jun,부산,동래구,83,"88,021","1,808","89,912",27,"1,710",342,"2,079",66,"9,519","1,629","11,214",2,224,275,501,178,"99,474","4,054","103,706"
26-Jun,부산,부산진구,139,"126,884","33,577","160,600",62,"2,433",535,"3,030",169,"12,831","2,513","15,513",10,212,571,793,380,"142,360","37,196","179,936"
26-Jun,부산,북구,122,"86,216","1,461","87,799",48,"1,875",320,"2,243",105,"11,357","1,579","13,041",11,204,258,473,286,"99,652","3,618","103,556"
26-Jun,부산,사상구,107,"65,983","2,312","68,402",52,"1,871",203,"2,126",99,"13,730","2,307","16,136",8,242,314,564,266,"81,826","5,136","87,228"
26-Jun,부산,사하구,120,"91,241","3,436","94,797",50,"2,365",269,"2,684",103,"12,405","1,995","14,503",10,235,266,511,283,"106,246","5,966","112,495"
26-Jun,부산,서구,74,"26,352",361,"26,787",30,771,18,819,41,"3,520",875,"4,436",0,71,81,152,145,"30,714","1,335","32,194"
