구분1,구분2,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
운영서비스,노선체계적절성,4.91,4.84,4.82,4.87,4.73,4.82,4.69,4.74,4.82,4.71,4.7,4.74,4.71,4.7,4.69,4.73,4.65
운영서비스,배차간격적절성,4.68,4.58,4.55,4.63,4.44,4.55,4.41,4.4,4.56,4.44,4.45,4.44,4.45,4.44,4.45,4.43,4.46
운영서비스,이용요금합리성,4.72,4.69,4.67,4.7,4.62,4.63,4.55,4.59,4.65,4.56,4.56,4.57,4.57,4.55,4.57,4.56,4.54
이용환경서비스,기사-역무원친절도,4.64,4.6,4.59,4.61,4.56,4.57,4.58,4.55,4.61,4.59,4.56,4.57,4.61,4.55,4.59,4.58,4.57
이용환경서비스,시설이용편리성,4.68,4.61,4.64,4.65,4.54,4.6,4.5,4.56,4.61,4.51,4.49,4.53,4.51,4.47,4.49,4.52,4.49
이용환경서비스,교통약자시설,4.56,4.55,4.53,4.59,4.5,4.55,4.5,4.47,4.51,4.5,4.48,4.5,4.5,4.5,4.46,4.48,4.47
쾌적환경서비스,차량내부혼잡도,4.16,4.22,4.22,4.22,4.29,4.24,4.32,4.37,4.23,4.36,4.34,4.34,4.33,4.35,4.36,4.4,4.32
쾌적환경서비스,이용시설청결성,4.65,4.61,4.57,4.59,4.51,4.56,4.46,4.5,4.56,4.51,4.48,4.5,4.5,4.5,4.49,4.52,4.5
안전환경서비스,(버스)급출발-급제동-차로변경-안전거리확보,4.46,4.4,4.43,4.46,4.45,4.43,4.42,4.39,4.42,4.41,4.45,4.44,4.46,4.41,4.42,4.43,4.45
안전환경서비스,(버스)비상시대처방안안내,4.39,4.34,4.36,4.39,4.4,4.37,4.34,4.33,4.38,4.35,4.39,4.38,4.39,4.37,4.37,4.38,4.28
안전환경서비스,(버스)범죄행위안전성,4.56,4.59,4.53,4.48,4.57,4.5,4.51,4.48,4.52,4.52,4.56,4.55,4.47,4.54,4.55,4.55,4.51
안전환경서비스,(지하철)급출발-급정거-정확한위치정차,4.86,4.8,4.83,4.8,4.94,4.87,0,0,4.87,4.63,0,4.79,0,0,4.94,5.06,0
안전환경서비스,(지하철)비상시대처방안안내,4.64,4.65,4.64,4.65,4.5,4.69,0,0,4.65,4.47,0,4.67,0,0,4.55,4.47,0
안전환경서비스,(지하철)범죄행위안전성,4.49,4.48,4.51,4.52,4.53,4.52,0,0,4.48,4.36,0,4.41,0,0,4.67,4.36,0
정보제공서비스,대중교통변경정보제공,5.04,5.02,5.03,5.03,5.02,5,5.04,5.03,5.03,5.01,5,4.98,4.97,4.98,5,4.96,5
정보제공서비스,대중교통제공정보정확성,4.99,4.93,4.92,4.92,4.89,4.85,4.86,4.75,4.92,4.84,4.83,4.89,4.84,4.81,4.83,4.89,4.87
접근서비스,접근거리및시간,4.89,4.92,4.88,4.92,4.91,4.94,4.87,4.93,4.91,4.91,4.91,4.9,4.94,4.91,4.93,4.92,4.91
접근서비스,목적지이동거리및소요시간,5,4.98,4.98,5.02,4.98,4.92,5,5.01,5,4.97,5.01,5.01,4.97,4.99,5,5.01,4.99
환승서비스,환승노선(체계)구축,4.82,4.81,4.85,4.83,4.8,4.81,4.83,4.61,4.82,4.88,4.91,4.84,4.74,4.83,4.76,4.69,4.97
환승서비스,환승정보제공적절성,4.54,4.54,4.5,4.53,4.44,4.5,4.41,4.2,4.51,4.5,4.48,4.44,4.47,4.45,4.51,4.42,4.42
환승서비스,환승요금적절성,4.87,4.85,4.83,4.88,4.9,4.9,4.83,4.93,4.89,4.79,4.93,4.9,4.9,4.93,4.99,4.83,5
